x,y1,y2,y3
0.603312,1.28986,2.40918,0.96361
0.604101,1.29281,2.41774,0.963752
0.60489,1.29281,2.41774,0.963752
0.605678,1.29281,2.41774,0.963752
0.606467,1.29281,2.41774,0.963752
0.607256,1.29577,2.42631,0.963898
0.608044,1.29577,2.42631,0.963898
0.608833,1.29577,2.42631,0.963898
0.609621,1.29577,2.42631,0.963898
0.61041,1.29875,2.43491,0.964049
0.611199,1.29875,2.43491,0.964049
0.611987,1.29875,2.43491,0.964049
0.612776,1.29875,2.43491,0.964049
0.613565,1.30175,2.44352,0.964205
0.614353,1.30175,2.44352,0.964205
0.615142,1.30175,2.44352,0.964205
0.615931,1.30175,2.44352,0.964205
0.616719,1.30476,2.45215,0.964366
0.617508,1.30476,2.45215,0.964366
0.618297,1.30476,2.45215,0.964366
0.619085,1.30476,2.45215,0.964366
0.619874,1.30778,2.4608,0.964531
0.620662,1.30778,2.4608,0.964531
0.621451,1.30778,2.4608,0.964531
0.62224,1.30778,2.4608,0.964531
0.623028,1.31082,2.46947,0.964701
0.623817,1.31082,2.46947,0.964701
0.624606,1.31082,2.46947,0.964701
0.625394,1.31082,2.46947,0.964701
0.626183,1.31387,2.47815,0.964876
0.626972,1.31387,2.47815,0.964876
0.62776,1.31387,2.47815,0.964876
0.628549,1.31387,2.47815,0.964876
0.629338,1.31694,2.48686,0.965056
0.630126,1.31694,2.48686,0.965056
0.630915,1.31694,2.48686,0.965056
0.631703,1.31694,2.48686,0.965056
0.632492,1.32002,2.49559,0.965241
0.633281,1.32002,2.49559,0.965241
0.634069,1.32002,2.49559,0.965241
0.634858,1.32002,2.49559,0.965241
